,	，,，,、,、
lung	弄,龍,隆,𠾐,聾,籠,窿,醲,隴,壟,朧,矓,攏,瓏,嚨,哢,儱,癃,巃,瀧,徿,蘢,礱,槓,襛,鑨,躘,龒,曨,櫳,蠪,襱,衖
lut	率,律,栗,聿,膟,瑮,壘,噊,篥,遹,肭,溧,繂,硉,麜,嵂,鷅,葎,慄,搮
#
m	呣,唔
ma	馬,媽,碼,孖,螞,瑪,罵,嗎,嘛,麻,蔴,嫲,痳,嬤,摩,蟆,榪,嚜,鎷,麼,傌,禡
maa	麻,痳,嬤
maai	買,賣,埋,𠹺,邁,勱,薶,霾
maak	麥,擘,嚜
maan	萬,慢,晚,蠻,万,曼,漫,摱,蔓,幔,墁,鰻,饅,熳,縵,鏝,槾,鄤,嫚,謾,卍,姏,脕,鬘,矕,僈,娩
maang	盲,孟,猛,掹,氓,繃,鄳,蜢,錳,艋,盳
maau	貓,貌,矛,茅,鉚,泖,錨,牡,髳,卯,茆,蟊,昴,媌,蝥
mah	嗎,嘛
mai	米,咪,謎,瞇,敉,霾,銤,迷,醚,袂,眯,麛,弭,渳
mak	麥,嘜,墨,默,脈,陌,冒,驀,貊,貉,万,嚜,纆,霢,眽,覛
man	敏,文,問,聞,民,蚊,吻,閔,閩,抿,刎,汶,抆,炆,玟,旼,紋,雯,氓,蠻,紊,敃,愍,岷,屘,鰶,憫,泯,怋,緡,黽,僶,湣,苠,澠,鼤,旻,姏,閿,闅,忞,免,罠,笢,璺,鼆,絻,痻,暋,卍
mang	萌,盟,掹,擝,甍,儚
mat	乜,勿,物,密,蜜,襪,抹,嘧,滵,蔤,蟔,岉,沕,芴,宓,謐
mau	某,謀,茂,眸,畝,懋,貿,牟,貓,繆,謬,踎,瞀,牡,侔,鄮,麰,哞,鍪,鞪,堥,蛑,楙,袤
meh	咩,孭
mei	未,美,味,尾,微,薇,眉,媚,寐,魅,瞇,屘,彌,敉,鎂,黴,爢,麋,瀰,糜,靡,湄,冞,麊,濔,鮇,縻,蘼,眯,堳,攠,醾,獼,亹,嵋,艉,葞,煝,溦,娓,弭,渼,媺,菋,郿,楣
mek	眽
meng	命,名
mi	咪,眯,瞇
mik	覓,冪,幦,鼏,糸,羃,汨,覛,塓,幎
min	免,面,麵,眠,棉,綿,冕,勉,娩,絻,沔,瞑,緬,偭,湎,愐,媔,靦,丏,眄,鮸,櫋,矊
ming	名,明,銘,命,冥,皿,瞑,酩,螟,鄍,榠,鳴,洺,暝,眳,溟,茗,嫇,蓂
mit	滅,搣,篾,幭,蠛,衊,蔑
miu	秒,妙,窈,苗,描,喵,瞄,渺,廟,藐,邈,眇,緲,繆,杪,訬,玅,貓,淼,杳
mo	無,務,冇,毛,模,毋,母,冒,武,舞,侮,慕,募,墓,霧,暮,帽,巫,憮,摹,糢,膜,蕪,姥,嫵,犛,莫,戊,杗,鉧,騖,拇,潕,嘸,鵡,謨,嫫,廡,蝐,瑁,膴,呣,橆,姆,芼,髦,眊,甒,鞪,旄,酕,鶩,婺,媢,砪,摸,耄,毷,碔,楘,誣
moh	麼,摩,嚤,魔,摸,蘑,磨,饃,劘
mok	膜,寞,幕,莫,幙,邈,嗼,鄚,貘,剝,瘼,鏌,摸,漠
mong	網,望,忙,忘,亡,茫,妄,莽,芒,惘,輞,杗,氓,蟒,漭,罔,魍,朢,哤,尨,网,鋩,邙,汒,厖,駹,甿,盳,虻,庬,牻,蘉,茻,硭,菵,旺
mooi	霉,莓,枚,玫,媒,煤,梅,韎,禖,沬,每,苺,鋂,妹,昧,眛,浼,脢
moon	門,們,悶,滿,瞞,捫,璊,樠,蹣,懣,穈,鍆,鞔,悗,顢,燜,虋
moot	末,沒,沫,抹,歿,茉,秣,靺
mor	麼,摩,魔,摸,蘑,磨,饃,藦,劘,塺
mui	每,妹,媒,枚,玫,梅,昧,霉,魅,煤,莓,塺,韎,禖,沬,蝐,苺,瑁,鋂,挴,眛,浼,脢,腜,痗
muk	目,木,㕲,沐,睦,穆,苜,鉬,牧,霂,坶,毣,繆
mun	燜
mung	夢,蒙,矇,朦,幪,檬,懞,懵,濛,瞢,尨,氋,曚,礞,艨,蠓,霿,鸏,饛,雺
mut	沒,末,沫,抹,歿,秣,茉,靺,妺,歾
#
na	那,哪,拿,嗱,𢲡,娜,拏,南,挐
naai	乃,奶,迺,氖,艿,鼐,褦,嬭,釢,妳
naam	男,南,喃,腩,楠,蚺,囝,蝻,諵,囡,柟,淰,揇
naan	難,戁,赧,嶩
naap	納,妠,吶,內,衲,軜,鈉
naat	捺,鈉
naau	鬧,朽,撓,橈,錨,鐃,蟯,臑,怓,獶,呶,挐,峱,夒,獿,淖,譊,猱
nai	奶,泥,乃,氖,艿,鼐,坭,褦,迺,嬭,釢,妳
nam	男,諗,藍,楠,喃,淰,腍,稔
nan	難,撚,赧
nang	能,坉,儜
nap	粒,納,鈉,凹
narm	男
narn	難
nat	訥,肭,捺,吶
nau	扭,忸,妞,紐,鈕,嬲,鬧,耨,膩,朽,撓,橈,鐃,糅,狃,獳,杻,檽,呶,鎒
ne	呢
nei	你,妳,袮,您,尼,呢,妮,膩,彌,瀰,餌,鈮,泥,怩,刵,柅,毦,珥,禰,眲,獼,衈,旎,苨
neung	孃,娘
ng	唔,吳,五,伍,嗯,吾,午,誤,悟,捂,蜈,寤,晤,鼯,仵,鋙,鋘,遻,忤,梧,俉,迕,峿,啎,牾,珸,郚,浯,蘁,焐,痦
nga	牙,雅,衙,芽,佤,瓦,蚜,婭,掗,齖,椏
ngaa	丫,吖,牙,雅,啞,鴉,訝,衙,芽,伢,佤,瓦,厊,岈,庌,蚜,砑,迓,枒,疋,埡,掗,御,齾
ngaai	啀,涯,捱,堐,睚,崖,埃,艾,娭,乂,刈
ngaak	厄,呃,握,額,詻,逆,峉,眲,軶
ngaam	岩,啱,癌,巖,麙,嵒,碞,喦
ngaan	眼,雁,顏,晏,贗,研,鴈,虤,鴳,齴
ngaang	硬,罌
ngaap	鴨
ngaat	壓,押,齧,扤,堨,齃,猒
ngaau	拗,𢯎,淆,餚,崤,靿,肴,爻,咬,殽
ngai	危,藝,囈,偽,倪,毅,矮,魏,巍,蟻,蛾,涯,捱,睚,兒,刈,艾,蜺,槸,霓,隗,蓺,礒,睨,乂,桅,曀,頠,阨,螘,輗,郳,鮨,檥,寱,埃,埶,齯,顗,艤,豷,猊,鯢,堄,犩,麑,轙,婗,掜,詣,唉,嗌,襼,崖,羿,嵬
ngak	握,額,呃,厄,眲,幄,腛,搹
ngam	岩,啱,暗,黯,巖,癌,儑,扲,盦,菴,庵,晻,闇,喑,韽,啽,腤,吟
ngan	銀,眼,雁,顏,韌,奀,垠,鄞,贗,齦,誾,狋,嚚,鴳,印,圁,垽,狺,鷃,齗
ngang	硬,鞥,罃
ngap	岋,罨
ngat	壓,押,迄,兀,忔,扤,杌,圪,扢,仡,兀,屼,阢,汔,阣,矻,矹,卼,齕,揠,訖,屹
ngau	牛,吽,咬,偶,勾,歐,耦,藕,遨,鉤,嘔,𧣈,肴,淆,崤,鷗,靿,慪,漚,熰,謳,鏂,蕅,爻,腢
ngit	齧,嚙,囓
ngo	傲,翱,鰲,遨,熬,嗷,滶,摮,隞,廒,璈,鼇,獒,鏖,聱,澳,謷,擙,磝,嶴,墺,敖,芺,螯,隩,驁,奡,爊,鏊
ngoh	臥,餓,我,訛,鵝,峨,屙,俄,娥
ngoi	愛,哀,外,呆,靄,噯,皚,凱,藹,礙,曖,獃,僾,璦,嬡,騃,埃,閡,氨,堨,靉
ngok	萼,岳,噩,樂,嶽,顎,鱷,鍔,噁,諤,咢,愕,鄂,鶚,堮,齶,蘁,崿,櫮,鸑
ngon	岸,犴,銨,桉,豻,胺,摁
ngong	骯,卬,仰,昂,戇
ngor	我,哦,餓,訛,臥,蛾,鵝,俄,柯,屙,痾,娥,鋨,峨,吪,莪,睋,硪,囮
nguk	屋,剭
ngung	蕹
ni	呢,抳,柅
nik	匿,暱,溺,搦,袙,嫟,昵,衵,惄
nim	念,唸,黏,拈,粘,捻,棯,鯰,廿
nin	年,揑,撚,碾,拈,輾,涊,跈
ning	寧,嚀,濘,擰,檸,獰,佞,薴,儜,泞,聹,寍,甯,鸋
nip	聶,臬,躡,鑷,鎳,苶,捻,涅,捏,掜,顳,隉,敜
niu	尿,嬝,鳥,溺,蔦,褭,裊,嬲,嫋
no	腦,惱,努,怒,奴,弩,帑,駑,瑙,孥,砮,娜,笯
noh	懦,挪,糯
noi	耐,奈,內,倷,氝,柰,餒
nok	諾,鐸
nong	瓤,曩,囊,躟,囔,攮,灢,齉
nor	挪,懦,糯,撋,懧,挼,那,捼,儺,娜
nuen	嫩,暖,煖,渜,餪
nui	女,餒,囡,暸,腇,釹
nuk	忸,恧,朒,衄
nung	弄,農,濃,噥,穠,膿,醲,襛,譨,儂
nut	訥,肭,吶,鷸
#
o	奧,澳,噢,懊,傲,廒,獒,襖,鏖,謷,螯,爊,鏊,呵,蚵,媼
oh	噢,奧,懊,喔,澳,柯,蛾,哦,軻,襖,鏖,嶴,墺,鋨,吪,芺,嚄,珂,隩,莪,镺,爊,砢,媼,婀
oi	愛,外,哀,唉,呆,礙,藹,靄,僾,嬡,噯,曖,璦,鑀,靉,乃,毐,騃,壒,薆,埃,堨,欸
ok	惡,岳,咢,諤,嶽,鱷,噁,堊,鶚,崿,鸑
on	岸,安,按,案,桉,胺,銨,鞍,犴,氨,盎,摁
ong	戇,昂,仰,骯,坱,醠,盎,軮,甕
or	哦,柯,喔,痾,軻,匼,嚄,婐,阿,婀,啊,珂,牁
ork	岳,樂,嶽,鱷,惡,噁,堊
#
pa	怕,爬,扒,趴,帕,琶,朳,耙,杷,跁,掱,葩
paai	排,派,牌,簰,鎃,俳,箄,蒎,湃,棑
paak	拍,啪,泊,柏,栢,帕,魄,粕,舶,珀,檗,蘗,汃
paan	盼,攀,袢,頒,扳,眅,襻
paang	棒,彭,澎,膨,棚,鵬,烹,𢴒,抨,𠹶,漰,憉,蟛,亨,輣,匉,恲,泙,甏,硼,棓,軯
paau	拋,泡,咆,炮,砲,跑,豹,庖,鉋,鑤,鞄,匏,炰,奅,脬,趵,皰,刨
pah	怕,爬,扒,趴,帕,琶,朳,耙,杷,跁,掱,葩
pai	批,睥,錍,湃
pak	泊,帕,柏,魄,檗
pan	貧,頻,瀕,噴,濆,嬪,蘋,扳,顰,牝,呠,歕,玭,嚬,蠙,矉
pang	朋,馮,憑,倗,磞,硼,鬅,堋,弸,淜,傰
par	怕,爬,扒,趴,帕,琶,朳,耙,杷,跁,掱,葩
pat	匹,疋
pau	泡,炮,砲,剖,麃,抔,裒,垺,婄,掊,瓿
pei	皮,疲,脾,彼,披,被,譬,屁,呸,婢,鄙,否,琵,罷,鈹,陴,丕,紕,膍,蜱,鼙,枇,媲,睥,苤,伾,阰,圮,駓,髬,嬖,庀,狉,芘,貔,郫,鞞,毘,砒,帔,邳,濞,魾,痞,比,埤,鎞,嚭,仳,蚍,笓,堛,秠,淠,庳,翍,毗,裨,椑
pek	劈,擗
peng	平,瓶,𠹶
pik	辟,僻,擗,澼,劈,癖,霹,闢,甓,鷿,釽
pin	片,篇,編,偏,翩,遍,騙,蝙,胼,駢,緶,跰,甂,諞,蹁,骿,便,扁,媥,萹,煸,楩,楄
ping	平,蘋,瓶,屏,拼,抨,砰,評,俜,娉,聘,騁,乒,閛,竮,郱,苹,萍,頩,甹,匉,伻,坪,枰,怦,併,洴,姘,帡,軿,駢,荓,淜,偋,缾
pit	撇,潎,徶,嫳,氕,瞥,覕
piu	票,漂,飄,瓢,嫖,摽,彯,鰾,縹,慓,嘌,驃,薸,瞟,莩,篻,螵,剽,醥,顠,皫,飆,殍,僄
po	抱,泡,埗,普,蒲,鋪,葡,脯,莆,袍,溥,袌,蒱,譜,酺,舖,菩,圃,氆,甫,匍,鯆,鐠,痡,浦,誧
poh	破,頗,婆,鄱,皤,笸,叵
pok	噗,撲,墣,璞,樸,鏷,扑,朴,粕,鞄,蒪,醭,猼,釙
pong	旁,傍,徬,榜,謗,蚌,龐,嗙,搒,滂,膀,螃,耪,艕,乓,篣,尨,汸,厖,彷,庬,逄,雱
pooi	配,徘,佩,珮,蓓,培,陪,賠,碚,醅,霈,坯,胚,沛,旆,茷,裴,毰
poon	潘,盆,盤,磐,判,頖,蟠,蹣,胖,弁,拚,般,縏,沜,番,磻,牉,洀,泮,伴,鞶,拌,槃,葐,湓,媻,幋
poot	潑,醱,鏺
por	破,陂,跛,鄱,頗,樖,婆,岥,皤,笸,叵,坡
pui	倍,陪,培,賠,配,佩,珮,沛,徘,蓓,坏,醅,霈,坯,胚,柸,昢,旆,茷,衃,裴,姅,碚,琲,毰
puk	仆,樸
pun	踫,媻
pung	捧,碰,踫,蓬,篷,芃,髼,埲,掽,椪
put	潑,撥,醱,鏺
#
sa	耍,卅,沙,紗,莎,砂,裟,鯊,洒,灑,唦,逤,魦,啥,唰,痧,嗄
saai	晒,曬,徙,嘥,哂,屣,璽,鰓,舐,蓰,諰,咶,縰,枲,蹝,纚,葸,殺
saak	索,摵,梀
saam	三,叄,參,仨,衫,幓,毿,芟,摲,籸,摻,穇,糝,鬖,剼,杉,釤
saan	山,閂,刪,傘,散,汕,舢,訕,篡,姍,珊,粣,跚,孱,潺,僝,潸,涮,疝,拴,繖,栓,膻,挻
saang	生,省,笙,牲,甥,胜,眚,渻
saap	圾,霎,颯,翣,馺,箑,澀,靸,濇,鎝,喢,啑,趿,萐,歃
saat	殺,剎,煞,撒,薩,摋,樧,蔱,刷,鎩,閷
saau	哨,稍,捎,潲,髾,莦,筲,𢶠,弰,梢,睄,蛸,艄,鞘,鮹,旓
sai	細,世,勢,西,誓,洗,駛,噬,嘶,逝,婿,筮,簭,唑,樨,澨,遰,使,恓,遾,簁,洒,枲,茜,硒,氥,犀,粞,貰,篩
sak	塞,揌
sam	心,深,森,什,甚,審,參,滲,琛,墋,岑,芯,縿,綝,瀋,嬸,槮,諗,邥,郴,伈,沁,沈,瞫,芩,襂,涔,忱,黮,梣,鏒,摻,淰,葚,罧,葠,煁,諶,杉,愖,襳,椹,讅
san	身,新,伸,慎,申,辛,薪,燊,神,臣,晨,辰,蜃,腎,呻,鷐,鋅,脤,砷,莘,紳,僝,詵,胂,侁,屾,宸,孱,信,珅,駪,氠,麎,桭,兟,甡,娠
sang	生,腥,醒,牲,僧,笙,聲,甥,刉,狌,擤,鼪,蹭
sap	十,拾,圾,濕,什,甚,溼,澀,霅,濇,譅,啑,鈒
sat	失,室,實,膝,蝨,虱,瑟,剎,璱,寔,湜
sau	收,修,手,搜,首,守,受,授,售,壽,羞,愁,瘦,獸,秀,銹,仇,繡,艘,蒐,狩,嗾,嗽,脩,擻,潃,鄋,滫,鏽,藪,颼,瞍,餿,艏,糔,叟,謏,恓,雔,宿,鎪,漱,饈,籔,讎,琇,綬,獀,溲,棷,睄,嗖,廋
se	寫,捨,社,些,蛇,舍,射,麝,卸,赦,瀉,佘,賒,輋,厙,猞
see	絲,私,司,思,師,詩,施,獅,斯,嘶,撕,屍,伺,是,事,使,時,市,匙,視,士,仕,氏,侍,四,駟,廝,豉,凘,鈰,禗,蓍,鳲,蒔,僿,澌,緦,禠,鷥,跱,榯,泗,罳,邿,蟴,屎,諟,諰,諡,呬,戺,螄,弒,恃,鍉,謚,峙,姼,柶,鍶,褷,颸,肂,死,虒,塒,鰣,鰤,試,鼶,絁,偲,尸,葹,溮,示,襹,釃,肆,史,肄,嗜
seh	寫,捨,社,些,蛇,射,卸,赦,麝,瀉,舍,賒,灺,佘,卌,奓,厙,騇,奢,猞
sei	四,肆,死,蕼
sek	石,碩,錫,𡃶,祏,鼫
seng	聲,腥,醒,城,成,姓,星
seuk	杓,爍,鑠,勺,削
seung	上,相,想,尚,常,嘗,償,商,雙,箱,廂,傷,賞,殤,鷞,嫦,襄,霜,嚐,孀,鑲,緗,熵,瓖,觴,蔏,湘,纕,鞝,裳,勷,湯,鬺,倘,艭,鯗,忀,葙,徜,驦,驤,愓,鱨,瀧
sha	沙
shau	筲
shek	石
sheung	上
shi	市
shing	承,成,城,誠,剩,盛,丞
shui	水
shun	信,訊,順,迅,遜,醇,唇,筍,洵,潠,脣,殉,淳,徇,純,,汛,踆,噀,鶉,愻,瞬,漘,逡,蓴,郇,簨,侚,囟,蕣,瞚,峋,舜,恂,栒,絢,珣,眴,榫,迿,皴,巽,詢,盾,荀,犉,焞,楯
si	是,試,時,事,市,使,視,示,絲,伺,私,思,詩,師,施,斯,司,撕,嗜,屍,獅,士,仕,氏,豉,史,屎,匙,弒,肆,侍,恃,四,駟,嘶,廝,凘,鈰,禗,蓍,鳲,蒔,僿,澌,緦,禠,鷥,跱,榯,泗,罳,邿,蟴,諟,諰,諡,呬,戺,螄,鍉,謚,峙,姼,柶,鍶,褷,颸,肂,死,虒,塒,鰣,鰤,鼶,絁,偲,尸,葹,溮,襹,釃,肄
sik	食,色,式,析,惜,適,識,飾,息,昔,悉,熄,晰,,釋,媳,骰,蝕,奭,飭,潟,淅,螫,蟋,鄎,赩,穡,銫,瘜,蒠,緆,澀,裼,刺,窸,螅,濇,蕮,蜥,鎴,栻,拭,衋,醳,襫,轖,嗇,皙,錫,僁,腊,菥,舄,軾
sim	閃,嬋,禪,簷,蟾,贍,裧,剡,陝,苫,澶,襜,掞,笘,煔,睒,晱,襳
sin	善,先,仙,鮮,羨,倩,擅,線,綫,膳,腺,扇,煽,躚,洗,單,嬋,繕,癬,撣,秈,霰,儃,鱔,蒨,潬,綪,禪,蟬,墠,跣,贍,蘚,墡,樿,氙,冼,鋋,嬗,鄯,澶,謆,獮,姺,褼,燹,銑,茜,毨,騸,廯,鏾,蟺,釤,僊,筅,羡,搧,尟
sing	聖,勝,升,昇,星,承,成,城,誠,乘,剩,盛,丞,姓,性,聲,陞,醒,繩,猩,省,腥,鋮,賸,箵,郕,呏,圣,澠,惺,狌,騂,宬,晟,瑆,煋,旌,塍,渻,嵊
sip	涉,攝,歙,懾,燮,拾,韘,躞,灄,揳
sit	洩,蝕,楔,契,紲,薛,褻,屧,靾,燮,榍,泄,竊,伳,嶭,屑,媟,离,躠,躞,疶,偰,舌,揲,揳,渫,絏
siu	小,少,笑,消,燒,宵,霄,逍,兆,邵,紹,迢,袑,蕭,銷,嘯,韶,簫,銚,潚,篠,瀟,苕,芀,劭,卲,肇,謏,魈,鮡,垗,召,蠨,櫹,萷,綃,蛸,筱,翛,痟,旐,硝,揱
so	蘇,騷,甦,酥,穌,嫂,數,掃,訴,素,塑,須,溯,膆,鬚,愬,繅,囌,瘙,嗉,泝,臊,搔,漱,埽,繰,籔,傃,簑,喿,愫,慅
soh	嫂,數,掃,訴,素,蔬,梳,疏,傻,所,梭,唆,瑣,莏,鎖,蓑,桫,挲,娑,羧,嗩
soi	腮,鰓,思,毢,毸
sok	索,塑,蒴,箾,槊,鎙,鎍,朔,欶,萷,嗦,嗍,搠,揱
song	爽,喪,桑,塽,磉,顙,嗓,搡
sor	所,傻,鎖,疏,梳,蔬,梭,嗦,莎,莏,璅,趖,蓑,疋,唆,瑣,桫,挲,惢,娑,羧,簑,嗩
sue	書,輸,舒,暑,鼠,恕,樹,豎,薯,殊,戍,樞,處,黍,藷,曙,澍,樗,摴,抒,癙,殳,銖,庶,杸,姝,攄,洙,尌,紓,署,腧,蜍,裋,毹,鄃
suen	算,蒜,選,損,宣,酸,孫,船,旋,漩,璇,鏇,蓀,飧,篆,璿,槂,鐫,還,舡,渲,輲,匴,吮,痠,悛,狻,朘,琁,饌,腞,筭,瑄,猻,瑑,揎,搎
suet	說,雪,𠽌,鱈
sui	水,誰,垂,睡,衰,雖,須,需,碎,帥,說,稅,歲,祟,尿,陲,悴,粹,緒,絮,萃,瑞,隧,遂,墅,穗,繐,啐,淬,焠,瘁,睟,踤,賥,誶,蛻,邃,倕,箠,錘,髓,瀡,胥,湑,楈,稰,糈,蝑,諝,醑,緰,彗,槥,蔧,篲,嬃,燧,璲,穟,襚,繸,倠,濉,嶲,膵,睢,荽,芧,繀,綏,巂,挩,裞,帨,荾,繻,鑐,圌,眭,摔,厜,涗,葰,脽
suk	熟,屬,叔,縮,淑,蜀,粟,宿,肅,贖,驌,倏,蓿,塾,索,菽,僳,蹜,孰,橚,夙,謖,鮛,儵,妯,鸀,鷫,襡,鱐,焂,钃
sun	順,洵,筍,醇,𠱸,潠,遜,馴,脣,淳,迅,徇,純,汛,噀,鶉,瞬,唇,逡,蓴,郇,簨,侚,囟,蕣,峋,殉,舜,恂,栒,珣,榫,皴,巽,詢,訊,荀,楯
sung	送,餸,宋,鬆,崇,崧,慫,淞,悚,嵷,漎,聳,嵩,駷,娀,鰫,從,傱,菘,竦
sut	恤,率,術,述,摔,蟀,鉥,沭,朮,帥,秫,窣,卹,戌
sze	司,私,思,師,詩,施,絲,獅,螄,斯,嘶,撕,澌,廝,屍,偲,緦,罳,鍶,颸,鷥,釃,尸,鳲,絁,葹,蓍
#
ta	他,她,牠,祂,它,鉈,怹
taai	太,態,泰,呔,汰,鈦,舦,軚,忕,貸,傣
taam	貪,探,談,淡,氹,𠱁,譚,覃,撢,潭,曇,毯,罈,憛,緂,痰,蟫,倓,郯,橝,錟,燂,醓,澹,禫,餤,醰,藫,鐔,黮,贉,惔,榃,菼
taan	炭,碳,壇,彈,歎,嘆,灘,攤,癱,忐,坦,妲,袒,疸,坍,毯,嘽,鉭,枟,鷤,亶,襢,檀
taap	塔,塌,遢,嗒,鞳,傝,搨,榻,褟,鎉,鰨,毾,涾,誻,錔,闒,漯,拓
taat	達,撻,韃,躂,遢,羍,闥,趿
tai	睇,題,體,提,大,太,呔,汰,泰,態,貸,鈦,体,隄,悌,涕,娣,梯,稊,剃,締,銻,啼,蹄,替,嚏,殢,剔,忕,蕛,弟,謕,薙,厗,洟,鬄,鵜,鶗,鼶,鷈,鷤,偍,堤,媞,禔,緹,醍,騠,鯷,荑,鶙,屜,綈,溙,貸,揥
tam	譚,覃,撢,錟,蕁
tan	吞,飩,嘽,褪,暾,汆,疸,涒,揗
tang	鄧,滕,藤,籐,謄,騰,縢,螣,邆,疼,鼜,揗
tap	傝
tap	拓
tat	達,噠,撻,笪
tau	頭,投,透,唞,偷,骰,黈,妵,炓,媮,牏
tei	地
tek	踢
teng	聽,廳,艇
teuk	唾
tik	剔,惕,忑,慝,逖,倜,藋,俶,鋱,忒,擿,籊,貣,悐,趯,貸,鸐
tim	添,𠻹,甜,恬,湉,餂,忝,掭,舔,菾,簟,驔
tin	天,田,填,搷,滇,瑱,磌,佃,沺,鈿,窴,闐,靦,腆,畋,殄,嬥,淟,寘
ting	聽,廳,停,廷,挺,庭,亭,婷,𤧟,蜓,艇,霆,濎,汀,町,圢,朾,鋌,頲,侹,莛,脡,梃,桯,鼮,烴,珽,綎,葶,筳,渟,楟
tip	貼,帖,呫,怗
tit	鐵,銕,餮,驖
tiu	條,調,挑,跳,眺,窕,迢,頫,鰷,佻,恌,脁,誂,鯈,蓨,覜,艞,苕,窱,芀,髫,怊,庣,岧,嬥,鞗,蜩,彫,齠,祧,笤,糶
to	土,吐,肚,討,套,兔,途,逃,塗,圖,屠,徒,陶,淘,荼,鷋,咷,洮,桃,唾,萄,廜,饕,鞀,酴,滔,槄,慆,縚,蹈,韜,濤,禱,檮,幬,燾,忉,菟,匋,啕,掏,綯,醄,騊,駼,駣,弢,絛,悇,鵌,叨,涂,翿,釷,堍,瘏,禂,稌
toh	拖,妥,哸,橢,馱,陀,舵,駝,鴕,佗,沱,坨,柁,砣,跎,酡,鮀,鼉
toi	台,臺,檯,苔,怠,颱,薹,駘,儓,邰,鮐,炱,抬,胎,殆,跆
tok	拓,託,托,馲,魠,侂,乇,橐,沰,柝,蘀,庹,飥,籜,跅,魄
tong	堂,唐,塘,糖,劏,湯,燙,趟,帑,倘,淌,惝,躺,幢,棠,樘,膛,瞠,螳,蹚,鏜,搪,溏,瑭,煻,螗,醣,赯,踼,鎲,鐋,闛,儻,戃,爣,曭,矘,钂,盪,逿,羰,鼞
tor	拖,妥,哸,橢,馱,驒,舵,駝,鴕,唾,它,佗,陀,沱,坨,柁,砣,跎,酡,鮀,紽,鉈,嫷,他,牠,扡,柂,堶,鼉,揓,毻
tou	陶
tsang	曾
tsim	尖,詹
tsit	切,砌,掣
tso	灶,造,傮
tsuen	荃
tsui	嘴,咀,除,鉏,焯
tuen	屯,斷,團,糰,豚,臀,鷒,慱,摶,漙,坉,魨,忳,芚,篿,迍,鷻,剬,軘,剸,囤
tuet	脫,侻,莌,挩
tui	推,退,腿,褪,頹,僓,蓷,隤,蛻,駾,魋,穨,藬
tuk	禿,鵚
tum	氹,𠱁
tun	畽,褖,貒,芚,彖,湍,啍,盾,楯
tung	同,痛,通,統,桶,筒,童,仝,銅,彤,瞳,潼,僮,赨,酮,桐,熥,獞,蓪,峒,恫,艟,橦,朣,侗,曈,氃,佟,犝,穜,哃,罿,鮦,垌,疼,捅,茼,痌,烔,筩,衕
tur	唾
#
uk	屋,剭
up	翕,噏
#
wa	哇,嘩,華,話,划,娃,蛙,踝,樺,譁,畫,咼,鏵,窪,罫,驊
waai	壞,懷,歪,淮,瘣,獲,怀,褱,褢,蘹,蘾,槐,櫰
waak	或,畫,劃,惑,划,嫿,繣,謋,砉,騞,韄,湱
waan	玩,環,還,彎,灣,頑,幻,挽,患,漶,輓,宦,豢,翫,潫,鍰,抏,圜,薍,澴,鯇,圂,繯,鐶,攌,綰,闤,轘,鬟,睕,寰
waang	橫
waat	滑,猾,挖,黠,穵,斡
wah	哇,嘩,華,畫,話,娃,汙,蝸,踝,樺,摦,譁,槬,漥,划,鋘,蛙,咼,洼,呱,唲,挖,喎,騧,窐,剮,鏵,崋,窪,窊,罫,觟,凹,驊
wai	為,唯,畏,喂,位,惠,謂,偉,衛,威,圍,胃,維,惟,慰,彗,慧,蕙,毀,委,濊,餵,遺,尉,葦,蔚,緯,諉,違,韋,喟,穢,憓,虫,萎,濰,骫,儰,蜼,潿,犚,燬,碨,槥,嘒,褽,闈,卉,帷,蝛,蝟,蔧,諱,薳,蟪,桅,獩,噦,毇,罻,囗,橞,圩,餧,薉,薈,鮠,彙,逶,虺,恚,韙,壝,霨,渭,痿,倭,翽,媦,鏏,崣,孈,寪,譭,韡,譓,崴,蒍,葳,腲,猥,煟,瑋,煇,煒,湋,鄬,幃,讆,廆,暐
wak	或,搳
wan	搵,揾,暈,雲,云,魂,運,溫,混,穩,瘟,韻,蘊,均,尹,還,灣,荺,熨,允,隕,筠,餛,鄖,勻,熅,芸,慁,紜,澐,殞,殟,奫,醞,耘,琿,鋆,鼲,諢,妘,篔,抎,狁,沄,縜,縕,褞,嬛,蕓,轀,餫,薀,畇,頵,顐,韗,圂,霣,韞,掍,贇,氳,溳,溷,惲,員,昀,鄆,慍,渾,楎
wang	宏,閎,弘,泓,鞃,竑,鋐,汯,彋,吰,谹,翃,耾,浤,紘,鈜
wat	屈,核,滑,驈,熨,蔚,膃,鬱,潏,獝,噊,繘,罻,抇,遹,燏,鴥,尉,聿,黦,鶻,鷸,斡,鱊,矞,爩,詘,嗢,搰
wik	域,緎,蜮,閾,魊,淢,窢,罭,棫
wing	永,泳,詠,穎,潁,榮,禜,扔,俇,醟,蠑,嶸
wo	龢,婐
woh	和,喎,𢰸,禍,禾,渦,萵,蝸,堝,鍋,鉌,媧,踒,濄,龢,倭,騧,涴,婑,盉,婐,窩,猧,窠
wok	穫,鑊,矱,獲,瓠,濩,擭,瓁,嚄,檴,雘,蠖
wong	黃,王,皇,往,旺,枉,汪,𠶖,簧,惶,煌,蝗,篁,偟,徨,堭,遑,隍,湟,艎,喤,鰉,餭,鍠,騜,韹,凰,磺,潢,璜,蟥,尪,瀇,迋,趪,尢
